First,Last,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
Scott,Niedrmayer,NJ,D,27,9,3,3,3,3,3,3,4,3,2,3,1,3,2
Alexei,Kasatonov,NJ,D,7,11,4,3,2,3,4,4,4,4,1,3,1,4,2
Ken,Daneyko,NJ,D,3,10,2,2,1,4,1,4,6,2,0,4,4,1,4
Tommy,Albelin,NJ,D,6,7,3,2,2,3,2,2,2,3,0,3,3,2,2
Myles,O'Connor,NJ,D,5,7,1,1,0,1,1,1,2,1,0,1,3,0,3
Glenn,Healy,NYI,G,35,5,2,4,4,4,2,0,0,0,0,2,2,2,2
Mark,Fitzpatrik,NYI,G,30,7,2,4,2,2,3,0,0,0,0,2,2,2,2
Pierre,Turgeon,NYI,F,77,9,4,4,5,3,4,3,4,4,5,5,1,4,1
Benoit,Hogue,NYI,F,33,7,4,5,4,3,3,2,4,4,5,4,1,4,3
Marty,McInnis,NYI,F,18,4,3,3,3,2,2,2,3,3,3,3,0,2,2
Travis,Green,NYI,F,39,8,2,2,3,2,2,3,1,2,1,2,3,2,2
Ray,Ferraro,NYI,F,20,6,3,3,3,3,4,2,6,4,3,4,3,3,3
Claude,Loiselle,NYI,F,10,8,3,2,2,1,1,3,8,3,3,1,5,2,4
Steve,Thomas,NYI,F,32,6,4,4,4,3,3,4,4,3,3,4,2,4,3
Derek,King,NYI,F,27,9,3,2,4,3,4,1,4,4,5,4,2,2,2
Dave,Volek,NYI,F,25,6,4,4,3,2,2,1,2,4,2,4,5,3,2
Patrick,Flatley,NYI,F,26,8,3,2,4,3,2,3,3,4,2,4,0,4,2
Brian,Mullen,NYI,F,16,6,3,3,3,3,3,2,4,3,3,4,5,3,1
Brad,Dalgarno,NYI,F,15,11,1,2,3,2,1,1,5,2,4,2,1,2,3
Tom,Fitzgerald,NYI,F,14,8,2,2,2,3,2,2,1,2,2,3,2,2,2
Dan,Marois,NYI,F,17,7,3,3,2,1,3,1,5,3,1,2,4,2,3
Mick,Vukota,NYI,F,12,8,2,3,1,1,1,1,9,1,1,2,4,1,4
Vladimir,Malakhov,NYI,D,23,10,3,3,4,3,4,3,4,3,2,4,2,3,3
Darius,Kasparitis,NYI,D,11,7,4,3,2,3,3,4,4,3,1,3,2,3,4
Jeff,Norton,NYI,D,8,8,3,3,4,3,2,2,4,2,2,4,1,3,2
Uwe,Krupp,NYI,D,4,14,2,2,3,4,3,3,3,2,2,4,1,3,2
Tom,Kurvers,NYI,D,28,8,3,3,4,3,4,2,6,3,1,4,1,3,2
Scott,Lachance,NYI,D,7,8,2,2,2,4,3,3,4,3,2,4,1,3,3
Dennis,Vaske,NYI,D,37,10,1,1,2,1,2,2,6,1,1,1,1,1,3
Richard,Pilon,NYI,D,47,9,3,3,1,2,3,3,8,2,1,2,5,1,5
John,Vanbiesbrk,NYR,G,34,5,3,4,5,5,3,0,0,0,0,3,4,3,4
Mike,Richter,NYR,G,35,7,3,4,4,4,3,0,0,0,0,4,4,4,4
Mark,Messier,NYR,F,11,10,5,4,4,4,3,5,4,5,3,4,0,5,3
Sergei,Nemchinov,NYR,F,13,6,4,3,3,5,3,4,0,3,4,5,2,3,2
Darren,Turcotte,NYR,F,8,6,4,4,4,3,3,2,4,4,3,4,4,3,2
Ed,Olczyk,NYR,F,12,9,4,3,3,3,4,2,4,4,3,3,4,4,2
Esa,Tikkanen,NYR,F,10,9,5,5,3,4,4,5,4,4,2,4,4,4,3
Adam,Graves,NYR,F,9,6,4,4,4,3,2,3,6,3,3,4,5,3,4
Phil,Bourque,NYR,F,29,8,2,4,2,3,2,4,8,3,2,3,2,2,2
Jan,Erixon,NYR,F,20,8,3,3,2,3,2,2,2,3,3,3,0,3,1
Steven,King,NYR,F,25,7,2,2,3,2,2,1,3,2,3,3,4,2,2
Mike,Gartner,NYR,F,22,7,5,5,4,4,5,2,3,5,3,5,5,5,2
Tony,Amonte,NYR,F,33,6,4,4,4,3,3,1,3,3,3,4,3,3,2
Alexei,Kovalev,NYR,F,27,7,4,3,3,3,3,1,0,3,4,3,4,3,3
Paul,Broten,NYR,F,37,7,1,1,2,3,1,2,3,1,2,2,3,1,2
Joey,Kocur,NYR,F,26,8,2,1,1,3,2,3,9,2,1,2,4,2,4
Mike,Hartman,NYR,F,18,7,2,3,1,0,1,3,6,1,1,1,5,1,4
Brian,Leetch,NYR,D,2,6,6,3,4,4,4,2,6,5,1,5,2,5,2
James,Patrick,NYR,D,3,9,4,4,3,4,4,4,3,4,1,4,2,4,3
Sergei,Zubov,NYR,D,21,7,3,3,3,4,3,3,3,3,2,3,1,3,0
Jeff,Beukeboom,NYR,D,23,11,2,2,2,4,2,3,7,2,0,3,0,2,4
Kevin,Lowe,NYR,D,4,8,4,3,2,4,3,4,2,4,1,3,1,3,3
Peter,Andersson,NYR,D,5,9,2,3,3,2,2,2,2,3,1,2,4,3,2
Jay,Wells,NYR,D,24,10,2,2,2,2,2,3,6,2,0,2,1,2,4
Joe,Cirella,NYR,D,6,10,3,3,2,2,3,2,9,2,2,3,3,2,3
Peter,Sidorkwicz,OTW,G,31,6,2,3,1,1,2,0,0,0,0,2,2,2,2
Daniel,Berthiaume,OTW,G,32,1,3,3,1,1,2,0,0,0,0,2,2,2,2
Jamie,Baker,OTW,F,13,7,3,3,3,3,3,2,4,3,3,4,2,3,2
Mark,Lamb,OTW,F,7,6,4,3,2,4,2,3,0,3,1,3,3,3,3
Neil,Brady,OTW,F,12,9,2,2,3,3,2,2,6,2,2,3,1,3,3
Mark,Freer,OTW,F,11,6,2,2,3,3,2,2,4,2,3,4,3,2,2
Laurie,Boschman,OTW,F,16,6,4,2,2,4,2,3,4,3,2,3,5,2,3
David,Archibald,OTW,F,15,7,2,2,2,3,2,1,6,2,2,3,5,2,2
Rob,Murphy,OTW,F,18,9,1,2,2,2,2,3,6,2,1,2,4,1,2
Sylvain,Turgeon,OTW,F,61,9,4,4,3,3,3,2,4,3,2,3,5,2,3
Mike,Peluso,OTW,F,44,9,2,2,2,3,2,3,10,1,3,3,5,2,5
Doug,Smail,OTW,F,9,5,3,3,2,3,2,2,6,2,1,2,4,2,3
Jeff,Lazaro,OTW,F,28,6,3,3,3,1,2,2,8,3,3,1,5,2,2
Darcy,Loewen,OTW,F,10,6,2,2,1,2,2,1,6,1,2,2,4,2,4
Bob,Kudelski,OTW,F,26,9,3,3,3,3,3,2,3,3,4,3,4,3,2
Jody,Hull,OTW,F,17,9,2,2,3,3,2,3,1,2,2,3,3,2,1
Andrew,McBain,OTW,F,20,9,2,2,3,3,2,3,5,2,2,2,1,2,2
Tomas,Jelinek,OTW,D,25,7,2,2,2,2,2,1,6,3,2,2,5,1,3
Norm,Maciver,OTW,D,22,6,3,3,4,4,3,3,0,2,2,4,1,3,3
Brad,Shaw,OTW,D,4,7,3,2,3,3,3,2,3,3,1,3,2,3,2
Darren,Rumble,OTW,D,34,9,2,2,2,3,2,3,4,2,0,3,4,2,3
Chris,Luongo,OTW,D,23,6,2,2,1,3,1,1,3,2,0,2,4,2,3
Ken,Hammond,OTW,D,5,7,3,2,1,3,2,3,6,2,1,3,5,1,3
Gord,Dineen,OTW,D,6,8,1,1,2,2,1,2,3,1,1,2,5,1,3
Brad,Marsh,OTW,D,14,11,2,2,0,3,1,3,6,1,0,2,5,2,2
Tommy,Soderstrom,PHI,G,30,3,4,4,5,5,4,0,0,0,0,3,4,3,4
Dominic,Roussel,PHI,G,33,6,3,3,3,3,3,0,0,0,0,3,3,2,2
Steph,Beauregard,PHI,G,35,7,2,3,0,0,1,0,1,0,0,2,2,2,2
Eric,Lindros,PHI,F,88,12,4,3,4,4,4,5,9,4,6,5,2,4,4
Rod,BrindAmour,PHI,F,17,9,4,3,4,4,4,3,4,4,4,4,2,4,3
Pelle,Eklund,PHI,F,9,5,5,4,4,3,3,3,2,4,3,4,0,4,1
Josef,Beranek,PHI,F,42,6,3,3,3,3,2,1,0,3,3,3,4,3,3
Keith,Acton,PHI,F,25,4,2,2,2,4,3,4,0,3,2,4,2,3,2
Vachslav,Butsayev,PHI,F,22,6,2,2,2,2,2,2,6,2,0,2,1,2,3
Brent,Fedyk,PHI,F,18,8,2,2,4,3,3,3,3,2,3,3,1,2,2
Doug,Evans,PHI,F,15,6,2,2,2,2,2,2,4,2,3,2,2,2,3
Andrei,Lomakin,PHI,F,23,7,4,3,3,2,3,1,2,3,3,3,2,4,2
Dave,Snuggerud,PHI,F,14,7,3,3,2,2,2,2,6,3,1,2,5,3,1
Claude,Boivin,PHI,F,10,9,1,1,2,1,2,2,8,1,4,1,2,1,4
Mark,Recchi,PHI,F,8,6,5,4,5,3,4,3,4,4,5,4,1,4,3
Kevin,Dineen,PHI,F,11,7,4,5,3,4,2,2,7,3,3,4,5,3,4
Dave,Brown,PHI,F,21,9,1,1,0,2,1,2,9,1,0,2,5,1,3
Garry,Galley,PHI,D,3,7,2,2,3,4,2,3,6,3,1,3,2,3,3
Dimitri,Yushkevich,PHI,D,2,7,4,3,3,4,3,2,4,3,1,4,3,3,3
Greg,Hawgood,PHI,D,20,7,4,3,3,3,3,2,4,3,2,3,1,3,3
Terry,Carkner,PHI,D,29,10,2,2,2,3,2,3,6,2,1,3,0,2,4
Ric,Nattress,PHI,D,5,10,2,2,3,3,2,2,5,2,3,3,3,2,2
Ryan,McGill,PHI,D,27,8,2,2,2,3,2,2,7,2,1,3,4,1,4
Gord,Hynes,PHI,D,26,4,2,2,2,2,1,3,2,2,2,2,5,2,2
Shawn,Cronin,PHI,D,44,10,1,1,1,1,1,2,12,1,3,1,5,1,3
Tom,Barrasso,PIT,G,35,10,4,4,5,5,4,0,1,0,0,4,4,4,4
Ken,Wregget,PIT,G,31,8,2,3,4,4,2,0,0,0,0,3,2,3,2
Mario,Lemieux,PIT,F,66,10,5,4,6,4,4,3,3,6,6,6,0,6,2
Ron,Francis,PIT,F,10,9,4,3,4,4,4,4,4,4,3,4,0,4,2
Shawn,McEachern,PIT,F,15,7,3,3,3,3,3,2,4,3,3,4,3,3,2
Mike,Stapleton,PIT,F,26,6,3,2,2,2,2,2,1,2,1,2,5,3,0
Kevin,Stevens,PIT,F,25,11,3,4,5,3,3,3,6,4,4,5,3,4,4
Dave,Tippett,PIT,F,14,6,2,3,2,3,2,2,4,2,2,3,1,2,2
Troy,Loney,PIT,F,24,10,2,3,2,3,2,4,6,2,1,3,2,1,3
Jeff,Daniels,PIT,F,20,9,2,2,1,2,2,2,6,2,3,2,4,2,1
Jaromir,Jagr,PIT,F,68,10,5,4,4,3,3,4,4,5,3,4,1,4,2
Rick,Tocchet,PIT,F,22,9,2,2,5,4,4,3,7,3,5,4,1,3,4
Joe,Mullen,PIT,F,7,6,4,3,4,3,3,3,1,4,5,4,2,3,0
Martin,Straka,PIT,F,82,5,3,3,3,2,2,2,2,2,2,2,0,3,2
Mike,Needham,PIT,F,39,6,2,2,2,2,2,2,5,2,3,2,5,2,1
Jay,Caufield,PIT,F,16,14,1,2,0,1,1,3,11,1,0,1,3,1,4
Larry,Murphy,PIT,D,55,10,4,3,4,5,4,3,3,4,2,5,1,4,3
Ulf,Samuelsson,PIT,D,5,8,4,4,3,5,3,5,6,3,0,4,1,3,5
Jim,Paek,PIT,D,2,8,2,3,2,2,2,2,4,2,1,3,1,2,2
Paul,Stanton,PIT,D,23,8,3,3,2,3,4,3,3,2,1,3,5,4,3
Peter,Taglianeti,PIT,D,32,9,2,2,2,3,3,4,4,3,0,4,3,2,4
Mike,Ramsey,PIT,D,6,8,3,2,2,3,2,3,6,2,2,3,1,2,2
Kjell,Samuelsson,PIT,D,28,14,2,2,1,3,4,4,7,3,1,4,5,2,3
Grant,Jennings,PIT,D,3,9,2,2,1,3,2,3,8,2,0,2,3,1,3
Bryan,Fogarty,PIT,D,33,8,1,1,2,1,1,2,2,2,0,1,0,1,1
Ron,Hextall,QUE,G,27,7,4,4,4,4,4,0,0,0,0,4,4,3,3
Stephane,Fiset,QUE,G,35,5,3,4,3,3,2,0,0,0,0,2,2,2,2
Joe,Sakic,QUE,F,19,6,4,4,5,4,4,2,0,4,5,5,2,5,2
Mike,Ricci,QUE,F,9,7,4,4,4,3,3,3,4,3,5,3,0,4,3
Claude,Lapointe,QUE,F,47,5,3,3,3,4,2,2,4,3,2,3,1,2,3
Martin,Rucinsky,QUE,F,25,5,3,2,3,2,3,1,4,3,3,3,1,3,2
Valeri,Kamensky,QUE,F,31,8,4,4,4,3,5,2,5,4,3,4,1,4,2
Mike,Hough,QUE,F,18,7,3,2,3,3,3,2,4,3,2,3,2,3,3
Gino,Cavallini,QUE,F,44,11,1,3,2,2,2,2,4,2,3,2,2,2,2
Scott,Pearson,QUE,F,22,9,2,2,2,2,2,3,6,2,4,3,5,2,4
Bill,Lindsay,QUE,F,20,6,1,2,2,2,2,2,2,2,1,2,3,2,1
Chris,Simon,QUE,F,12,13,1,1,1,0,1,2,8,1,1,0,5,1,5
Tony,Twist,QUE,F,15,10,1,1,1,0,1,1,12,1,0,1,4,1,4
Mats,Sundin,QUE,F,13,7,4,4,5,4,4,1,3,4,5,4,0,4,3
Owen,Nolan,QUE,F,11,8,4,4,4,3,4,1,7,4,4,4,3,3,4
Andrei,Kovalenko,QUE,F,51,3,3,4,4,3,3,3,4,3,4,4,1,3,2
Scott,Young,QUE,F,48,7,3,3,3,4,3,2,1,3,3,3,4,3,1
Steve,Duchesne,QUE,D,28,8,4,4,4,4,4,2,4,4,2,4,1,4,2
Curtis,Leschyshyn,QUE,D,7,9,3,4,3,4,2,3,4,2,3,4,0,3,2
Alexei,Gusarov,QUE,D,5,6,3,3,3,3,3,3,0,3,3,4,0,3,2
Kerry,Huffman,QUE,D,2,9,3,3,3,3,3,3,6,3,1,3,2,2,3
Adam,Foote,QUE,D,52,6,2,2,2,4,1,3,3,2,1,3,2,2,4
Steven,Finn,QUE,D,29,8,2,2,2,3,3,3,6,2,2,3,4,2,4
Mikhail,Tatarinov,QUE,D,4,8,3,3,2,2,5,4,6,4,1,2,4,4,3
Craig,Wolanin,QUE,D,6,9,2,2,2,2,1,2,8,1,1,2,1,1,4
Arturs,Irbe,SJ,G,32,5,2,4,4,4,3,0,0,0,0,3,3,2,2
Jeff,Hackett,SJ,G,30,5,2,3,1,1,2,0,0,0,0,2,2,2,2
Brian,Hayward,SJ,G,1,6,2,3,0,0,2,0,0,0,0,2,2,2,2
Kelly,Kisio,SJ,F,11,6,2,2,4,4,3,3,3,3,4,4,0,3,3
Rob,Gaudreau,SJ,F,37,6,3,3,3,3,3,2,3,2,3,4,5,3,1
Dean,Evason,SJ,F,12,6,1,1,2,3,2,3,3,2,3,3,3,2,3
Mike,Sullivan,SJ,F,47,6,2,3,2,3,2,1,0,2,1,4,5,2,1
Perry,Berezan,SJ,F,16,7,4,4,2,2,2,3,3,2,2,2,5,3,3
Robin,Bawa,SJ,F,26,11,2,2,1,1,2,1,5,1,4,1,3,2,3
Johan,Garpenlov,SJ,F,10,6,3,3,4,2,2,1,0,3,3,3,1,2,2
Jeff,Odgers,SJ,F,36,9,1,2,3,2,2,2,6,2,3,3,4,1,5
John,Carter,SJ,F,20,4,2,2,2,2,2,2,8,2,1,2,5,2,3
David,Maley,SJ,F,25,8,1,1,1,1,2,3,8,2,0,1,4,1,4
Pat,Falloon,SJ,F,17,7,4,4,3,2,3,1,3,4,2,4,5,3,1
Ed,Courtenay,SJ,F,39,9,2,2,3,3,1,1,3,1,3,2,1,2,1
Mark,Pederson,SJ,F,18,8,2,2,3,2,2,2,6,2,3,2,5,2,2
Doug,Wilson,SJ,D,24,7,4,3,3,3,6,3,6,4,1,3,3,4,3
Neil,Wilkinson,SJ,D,5,7,3,3,1,3,2,3,5,3,0,4,4,4,3
Sandis,Ozolinsh,SJ,D,6,7,3,3,3,3,3,3,6,3,2,4,2,3,3
Tom,Pederson,SJ,D,41,4,1,2,3,2,2,2,5,2,2,2,4,3,2
Doug,Zmolek,SJ,D,19,12,2,2,2,3,2,3,6,2,1,3,5,2,4
David,Williams,SJ,D,3,8,2,2,2,2,2,2,5,2,0,2,2,1,3
Jay,More,SJ,D,4,7,3,2,1,3,4,3,3,3,1,3,5,3,4
Peter,Ahola,SJ,D,21,9,2,2,1,3,2,3,6,2,1,3,4,2,2
Rob,Zettler,SJ,D,2,7,2,2,1,3,2,2,4,3,0,3,4,3,4
Curtis,Joseph,STL,G,31,6,4,4,6,6,4,0,0,0,0,3,3,4,4
Guy,Hebert,STL,G,29,6,2,3,3,3,2,0,0,0,0,2,2,2,2
Craig,Janney,STL,F,15,7,4,3,5,4,3,2,0,4,4,4,0,4,0
Nelson,Emerson,STL,F,7,4,4,4,4,3,3,2,3,4,3,4,1,3,2
Ron,Sutter,STL,F,22,6,3,3,3,4,2,4,5,3,3,4,3,4,3
Ron,Wilson,STL,F,18,6,3,3,2,4,1,2,0,2,2,4,3,2,2
Bob,Bassen,STL,F,28,4,3,4,2,2,2,4,8,3,3,2,3,2,3
Philippe,Bozon,STL,F,36,6,2,2,2,2,2,1,6,2,1,2,5,1,3
Igor,Korolev,STL,F,38,7,2,2,2,3,2,2,0,2,1,3,0,2,1
Dave,Lowry,STL,F,10,8,2,2,2,3,2,3,6,2,2,3,4,2,4
Basil,McRae,STL,F,17,9,2,2,2,2,2,2,12,2,1,3,4,1,5
Brendan,Shanahan,STL,F,19,10,3,3,5,4,4,2,7,4,5,4,2,4,4
Brett,Hull,STL,F,16,9,4,4,5,3,6,3,3,5,3,4,4,3,2
Kevin,Miller,STL,F,14,7,4,3,3,4,3,3,7,3,3,4,3,3,3
Rich,Sutter,STL,F,23,7,3,3,2,4,1,2,3,2,2,4,5,2,3
Kelly,Chase,STL,F,39,8,1,1,1,2,1,1,9,1,1,2,3,1,5
Jeff,Brown,STL,D,21,9,3,3,4,4,5,2,3,4,3,5,1,4,2
Garth,Butcher,STL,D,5,9,2,3,2,4,2,4,7,3,1,4,4,3,4
Doug,Crossman,STL,D,6,7,2,2,3,3,2,2,6,2,3,4,0,3,2
Rick,Zombo,STL,D,4,8,2,2,2,3,3,2,3,2,0,4,0,2,3
Stephane,Quintal,STL,D,33,11,2,2,1,4,2,3,7,3,0,4,4,3,3
Lee,Norwood,STL,D,20,8,2,2,2,3,1,3,8,2,2,3,2,2,4
Bret,Hedican,STL,D,44,8,2,2,1,1,2,3,6,2,0,1,3,2,2
Curt,Giles,STL,D,2,5,3,2,1,3,1,2,2,2,0,3,3,1,2
Murray,Baron,STL,D,34,10,3,3,1,2,2,2,6,2,1,2,5,1,3
Wendell,Young,TB,G,1,6,3,3,2,2,3,0,0,0,0,3,2,3,3
Pat,Jablonski,TB,G,35,5,2,3,2,2,2,0,1,0,0,2,2,2,2
J.C.,Bergeron,TB,G,30,7,2,3,2,2,2,0,0,0,0,1,1,1,1
Brian,Bradley,TB,F,19,4,4,3,4,3,4,3,3,3,5,4,2,3,3
Chris,Kontos,TB,F,16,8,3,3,4,3,3,3,0,3,5,4,3,3,0
Adam,Creighton,TB,F,10,10,3,2,3,2,2,3,4,2,2,3,4,3,3
Marc,Bureau,TB,F,28,7,3,3,3,3,2,2,1,3,2,3,3,2,4
Rob,DiMaio,TB,F,18,5,2,3,3,3,2,2,5,2,2,3,2,2,3
Steve,Kasper,TB,F,11,5,3,3,1,3,2,4,4,3,3,3,2,3,1
Jason,Lafreniere,TB,F,17,6,2,2,3,3,2,1,3,2,4,2,2,1,2
Randy,Gilhen,TB,F,20,7,2,2,1,3,2,3,2,2,1,3,5,2,1
Mikael,Andersson,TB,F,34,6,2,4,2,3,2,1,0,3,2,4,5,3,0
Rob,Zamuner,TB,F,7,9,2,3,3,2,2,3,4,3,2,3,3,2,2
Steve,Maltais,TB,F,37,10,2,2,2,3,2,3,0,2,1,3,4,2,2
John,Tucker,TB,F,14,9,2,3,3,3,3,2,3,3,2,3,2,3,3
Danton,Cole,TB,F,24,7,3,3,3,3,2,2,1,2,2,3,4,2,1
Tim,Bergland,TB,F,21,8,2,2,1,3,2,2,3,2,1,3,5,2,2
Stan,Drulia,TB,F,27,7,1,2,1,0,2,2,3,1,2,0,5,1,2
Bob,Beers,TB,D,2,9,3,3,3,3,2,2,3,2,2,3,3,2,3
Roman,Hamrlik,TB,D,44,7,3,2,2,3,3,2,4,3,1,3,4,2,3
Shawn,Chambers,TB,D,22,9,2,2,3,3,2,2,2,2,1,3,2,2,2
Marc,Bergevin,TB,D,25,6,2,2,2,2,3,3,4,2,0,3,3,2,2
Joe,Reekie,TB,D,29,11,3,2,2,2,3,2,6,3,0,3,2,2,3
Chris,Lipuma,TB,D,40,6,1,1,2,1,1,0,2,1,0,1,1,1,4
Matt,Hervey,TB,D,26,9,1,1,2,1,1,2,9,1,0,1,3,0,4
Felix,Potvin,TOR,G,29,6,4,4,6,6,4,0,0,0,0,4,4,4,4
Daren,Puppa,TOR,G,1,9,3,4,5,5,2,0,1,0,0,2,2,3,3
Rick,Wamsley,TOR,G,30,6,2,3,0,0,2,0,0,0,0,2,2,2,2
Doug,Gilmour,TOR,F,93,4,5,4,5,5,4,4,4,4,4,6,0,4,3
John,Cullen,TOR,F,19,7,4,3,4,3,3,2,3,4,4,4,1,4,3
Mike,Krushelski,TOR,F,26,9,3,3,3,4,2,3,4,3,4,4,3,2,2
Peter,Zezel,TOR,F,25,9,3,3,3,3,3,4,0,3,3,4,1,4,1
Dave,McLlwain,TOR,F,7,7,3,2,2,3,1,3,4,3,3,3,5,3,2
Dave,Andreychuk,TOR,F,14,11,3,3,4,4,4,4,3,3,4,5,4,3,2
Wendel,Clark,TOR,F,17,8,3,3,3,3,5,4,6,4,3,4,3,4,4
Mark,Osborne,TOR,F,21,9,2,2,2,4,2,3,4,2,2,4,4,1,3
Bill,Berg,TOR,F,10,7,2,2,2,3,2,3,4,2,3,4,5,2,3
Nikolai,Borshevsky,TOR,F,16,6,4,4,4,2,3,2,0,4,4,4,2,4,1
Glenn,Anderson,TOR,F,9,7,4,4,4,3,3,2,6,4,3,4,1,4,3
Rob,Pearson,TOR,F,12,6,2,2,3,3,1,1,1,2,3,4,5,2,4
Mike,Foligno,TOR,F,71,8,2,2,2,3,2,5,5,3,3,3,5,2,3
Ken,Baumgartnr,TOR,F,22,9,2,2,0,2,1,2,10,1,0,2,3,2,4
Todd,Gill,TOR,D,23,6,3,3,3,3,2,4,4,2,2,4,1,2,3
Dave,Ellett,TOR,D,4,9,4,4,3,4,5,4,4,4,1,4,2,4,2
Dimitri,Mironov,TOR,D,15,7,3,2,3,3,3,1,2,3,2,3,1,3,2
Drake,Berehowsky,TOR,D,55,10,2,2,3,3,2,3,5,2,2,3,0,2,3
Jamie,Macoun,TOR,D,34,8,3,3,2,4,4,4,4,3,1,4,4,4,2
Bob,Rouse,TOR,D,3,10,3,3,2,4,2,4,3,2,0,4,4,2,3
Sylvain,Lefebvre,TOR,D,2,9,2,2,1,3,1,3,4,2,0,4,4,3,3
Bob,McGill,TOR,D,8,8,2,2,0,2,3,3,5,2,3,2,3,2,4
Kirk,McLean,VAN,G,1,8,4,4,4,4,4,0,0,0,0,4,4,3,3
Kay,Whitmore,VAN,G,35,5,2,3,5,5,2,0,0,0,0,2,3,2,3
Cliff,Ronning,VAN,F,7,5,5,5,4,3,2,2,0,4,3,5,1,4,1
Petr,Nedved,VAN,F,19,5,2,2,4,3,2,1,0,3,6,4,2,3,3
Anatoli,Semenov,VAN,F,20,7,3,3,3,4,3,2,0,3,3,4,0,3,2
Tom,Fergus,VAN,F,15,10,2,2,3,3,2,2,2,2,3,3,0,2,2
Geoff,Courtnall,VAN,F,14,7,5,5,4,3,3,1,4,4,3,3,2,4,4
Murray,Craven,VAN,F,32,6,3,3,4,3,3,3,4,3,4,3,0,3,1
Greg,Adams,VAN,F,8,7,3,3,4,4,3,3,2,3,5,4,1,3,1
Sergio,Momesso,VAN,F,27,11,4,3,3,3,3,4,6,2,3,4,4,2,4
Gino,Odjick,VAN,F,29,11,2,2,2,3,2,3,10,2,1,3,3,2,6
Garry,Valk,VAN,F,23,7,2,2,2,3,2,3,6,2,3,3,3,2,3
Pavel,Bure,VAN,F,10,5,5,6,5,4,4,2,0,5,4,4,4,4,2
Trevor,Linden,VAN,F,16,9,4,4,4,4,4,3,3,4,4,4,3,4,2
Dixon,Ward,VAN,F,17,9,2,3,3,3,3,2,1,2,5,3,1,2,3
Jim,Sandlak,VAN,F,25,11,1,2,3,3,3,2,9,2,2,3,3,2,4
Tim,Hunter,VAN,F,26,9,2,2,1,2,2,3,9,2,3,2,3,2,4
Jyrki,Lumme,VAN,D,21,7,4,3,3,4,2,3,4,4,1,4,1,4,2
Doug,Lidster,VAN,D,3,9,3,3,2,3,3,4,3,4,1,4,1,4,2
Adrien,Plavsic,VAN,D,6,7,2,2,3,3,2,3,6,2,2,3,0,2,3
Jiri,Slegr,VAN,D,24,10,3,3,3,3,3,2,6,3,1,4,1,3,4
Gerald,Diduck,VAN,D,4,10,3,3,2,3,4,4,7,3,1,3,4,3,4
Dave,Babych,VAN,D,44,11,2,2,3,4,3,2,6,3,0,4,2,3,3
Dana,Murzyn,VAN,D,5,9,2,3,2,3,4,4,6,2,1,4,4,2,4
Robert,Dirk,VAN,D,22,11,2,2,1,3,2,3,6,3,2,3,3,2,4
Don,Beaupre,WSH,G,33,4,3,4,3,3,3,0,0,0,0,3,3,3,3
Rick,Tabaracci,WSH,G,31,6,2,3,1,1,2,0,0,0,0,3,3,2,2
Mike,Ridley,WSH,F,17,9,4,4,4,3,3,2,0,4,4,4,0,4,2
Dimitri,Khristich,WSH,F,8,7,3,3,4,3,4,3,1,4,6,4,1,4,2
Dale,Hunter,WSH,F,32,8,2,2,4,4,3,4,6,2,4,4,0,4,4
Michal,Pivonka,WSH,F,20,8,3,3,4,3,3,3,4,4,3,4,0,4,3
Steve,Konowlchuk,WSH,F,22,6,2,2,2,2,2,3,2,2,2,2,2,2,2
Reggie,Savage,WSH,F,15,7,2,2,2,1,2,2,6,2,2,1,3,2,2
Bob,Carpenter,WSH,F,11,7,4,4,3,3,3,2,4,3,2,3,4,4,3
Todd,Krygier,WSH,F,21,6,2,3,2,3,2,2,4,2,2,3,5,1,2
Alan,May,WSH,F,16,9,2,2,2,3,3,3,7,2,2,3,4,2,5
Peter,Bondra,WSH,F,12,6,4,6,4,3,3,2,0,4,4,4,2,3,2
Pat,Elynuik,WSH,F,19,6,3,3,3,3,3,2,3,3,5,3,1,2,2
Kelly,Miller,WSH,F,10,8,4,4,3,3,3,2,0,4,3,3,2,4,1
Keith,Jones,WSH,F,26,7,2,2,2,2,2,3,3,2,3,2,2,3,4
Paul,MacDermid,WSH,F,23,9,2,2,2,3,2,4,7,2,4,3,3,2,3
Kevin,Hatcher,WSH,D,4,12,3,3,4,4,5,4,3,4,2,4,4,4,3
Al,Iafrate,WSH,D,34,11,4,4,4,4,6,4,6,4,2,4,4,4,4
Sylvain,Cote,WSH,D,3,6,3,3,3,4,3,3,1,3,2,4,4,3,2
Calle,Johansson,WSH,D,6,9,4,3,3,4,4,3,4,4,1,4,1,4,2
Paul,Cavallini,WSH,D,14,10,3,3,2,3,3,3,4,3,1,3,5,3,2
Shawn,Anderson,WSH,D,36,9,2,2,1,2,2,3,6,2,1,2,3,3,1
Jason,Woolley,WSH,D,25,6,2,2,1,1,1,2,2,2,0,1,2,1,2
Rod,Langway,WSH,D,5,11,3,2,0,2,2,3,2,3,0,2,3,2,3
Bob,Essensa,WPG,G,35,3,4,4,5,5,4,0,0,0,0,4,4,4,4
Jim,Hrivnak,WPG,G,30,6,2,3,2,2,2,0,0,0,0,2,2,2,2
Alexei,Zhamnov,WPG,F,10,7,5,3,4,3,3,3,0,5,4,4,1,5,2
